job_position_id,organisation_id,role,job_position_status,signed_off
9633,2204,Carer,Active,false
11396,2191,add,Active,false
11429,2191,approver Admin,Active,false
12397,2402,Evg role,Active,false
11905,2410,Other,Invited,false
12432,2179,Doctor,Active,false
12774,2401,Administrator,Active,false
12641,2325,Doctor,Active,false
12036,2402,Administrator,Active,false
12659,2372,Administrator,Active,false
12587,2379,MAinAdmin,Active,false
12642,2179,aaa,Active,false
12456,2312,Administrator,Active,false
11189,2372,Administrator,Active,false
12476,2409,Other,Not invited,false
12159,2402,Administrator,Invited,false
11654,2402,Doctor,Active,false
12592,2402,Simple role,Active,false
12274,2402,CLINICAL NOTO ADM,Invited,false
12275,2402,Doctor,Active,false
12651,2179,Care Teamer,Active,false
12677,2191,dashboard tst,Active,false
12701,2179,Doctor,Not invited,false
12763,2379,Other,Not invited,false
12242,2401,Checkr Background Checks,Invited,false
11906,2409,Other,Active,false
12702,2372,Nursys,Not invited,false
12054,2198,Director,Active,false
12951,2191,test docviewer,Active,false
11397,2393,Administrator,Active,true
12775,2401,Administrator,Active,false
1564,1493,Irish/UK Doctor 123,Active,false
13027,2179,Administrator,Active,false
3440,2179,Doctor,Active,false
12618,2179,Doctor,Active,false
12171,2179,Administrator,Active,false
12433,2179,Doctor,Active,false
11655,2402,Evg role,Active,false
12236,2402,Administrator,Invited,false
12477,2409,Other,Not invited,false
12478,2409,Other,Not invited,false
12652,2179,"""Associated Nurse Practitioner""",Active,true
12943,2402,CLINICAL NOTO ADM,Invited,false
12952,2206,Doctor MoM,Active,false
12953,2191,Approver,Active,false
12559,2325,Big boss,Active,false
12588,2379,Other,Invited,false
12954,2206,Doctor MoM,Active,false
12643,2179,aaa,Active,false
11404,2191,111aaaa,Active,false
12672,2410,Ambulance Care Assistant,Active,false
13007,1,Other,Not invited,false
12764,2401,Other,Invited,false
12654,2325,Driver,Active,false
12776,2401,Checkr Background Checks,Invited,true
15921,2491,Administrator,Active,false
13461,1,Other,Not invited,false
11405,2402,Administrator,Active,false
12955,2401,Administrator,Active,false
12901,2402,Administrator,Active,false
13086,2179,Administrator,Active,false
11528,2179,Doctor,Not invited,false
12161,2402,Doctor,Active,false
11656,2402,Not def adm,Active,false
12277,2409,Test,Active,false
12944,2402,CLINICAL NOTO ADM,Invited,false
12703,2328,Administrator,Active,false
12434,2179,Doctor,Active,false
13013,2409,Other,Active,false
12479,2409,Other,Invited,false
12607,1,Other,Active,false
12673,2410,Ambulance Care Assistant,Active,false
12619,2179,Doctor,Active,false
13033,2198,Administrator,Invited,false
13095,2428,Administrator,Active,false
12699,1,Other,Not invited,false
12055,2402,Doctor,Invited,true
12718,1,GP,Active,false
11828,1,Other,Not invited,false
13268,2322,sdfgsdfgsdfg,Invited,false
12777,2401,Checkr Background Checks,Active,true
11438,2372,Administrator,Active,false
12550,2179,UK Doctor,Invited,false
12902,2402,Doctor,Active,false
12608,2291,Doctor,Active,false
11474,2325,Administrator,Active,false
13462,2409,Other,Active,false
11529,2406,Administrator,Invited,false
12945,2291,"""1""",Invited,false
9992,2376,Basic SM,Active,false
12439,2379,TestRole,Invited,false
12056,2402,Administrator,Invited,false
9690,2325,Driver,Active,false
13034,2191,Administrator,Active,false
12150,2407,Other,Not invited,false
12662,2372,ViewDoc,Active,false
12704,2422,Administrator,Active,false
12162,2402,Doctor,Active,false
12480,2409,Other,Invited,false
12956,2402,Administrator,Active,false
13009,2376,Basic SM,Active,false
12561,2379,Administrator,Active,false
12278,2409,Testik,Active,false
12645,2179,Administrator,Active,false
13087,2427,Administrator,Active,false
12674,2325,Administrator,Active,false
13096,2429,Administrator,Active,false
12680,2420,Administrator,Active,false
13098,2431,Administrator,Invited,false
12782,2402,CLINICAL NOTO ADM,Invited,false
13269,2402,Not def adm,Active,false
13275,2379,TestRole,Active,false
11829,1,Other,Not invited,false
11847,1,Other,Not invited,false
11909,2410,Ambulance Care Assistant,Active,false
12163,2402,Doctor,Archived,false
12551,2191,Doctor,Invited,false
13463,1,Other,Not invited,false
11399,2191,approver Admin,Active,false
13088,2179,Administrator,Active,false
11420,2191,A1 nurcesdfs,Active,false
12903,2402,CLINICAL NOTO ADM,Active,false
12460,2410,Administrator,Active,false
12778,2401,Checkr Background Checks,Invited,true
12663,2372,1,Active,false
12481,2409,Other,Invited,false
12057,2402,Administrator,Active,false
12279,2410,Ambulance Care Assistant,Active,false
12552,2191,Nurse,Not invited,false
12553,2191,Nurse,Not invited,false
12556,2191,Other,Not invited,false
12554,2191,IT,Not invited,false
12555,2191,IT,Not invited,false
12562,2325,Doctor,Not invited,false
12591,1,Other,Not invited,false
12517,2402,CLINICAL NOTO ADM,Active,false
13010,2402,CLINICAL NOTO ADM,Active,false
12620,1,Other,Not invited,false
13015,2410,Ambulance Care Assistant,Active,false
11475,2325,Beaty,Archived,false
12646,2179,Doctor,Active,false
13035,2179,Irish Doctor,Invited,false
13097,2430,Administrator,Active,false
12151,2407,Basic non-clinical,Not invited,false
13099,2432,Administrator,Active,false
12768,2402,CLINICAL NOTO ADM,Invited,false
13161,1,Other,Not invited,false
13276,2402,Simple role,Active,false
12946,2372,Staff Member,Active,false
11830,1,Other,Not invited,false
11832,1,Other,Not invited,false
13089,2179,Non-Clinical,Active,false
11850,2410,Administrator,Not invited,false
14119,2409,Test,Active,false
14897,2402,Administrator,Active,false
11344,2402,Administrator,Active,false
10784,2191,Administrator,Active,false
11440,2372,Nursys,Active,false
13278,2401,AAAAA,Active,false
12152,2379,Other,Active,false
13285,2433,Administrator,Active,false
12441,2379,TestRole,Active,false
11476,2325,Doctor,Active,false
12164,2402,Administrator,Invited,false
12904,2402,CLINICAL NOTO ADM,Active,false
11702,2379,TestRole,Active,false
9387,2179,Administrator,Active,false
12461,2198,Administrator,Active,false
12706,2401,Checkr Background Checks,Active,false
12482,2409,Other,Invited,false
11224,2191,111aaaa,Active,false
12564,2325,Nurse,Not invited,false
12565,2325,Other,Not invited,false
12566,2325,Other,Not invited,false
12567,2325,Other,Not invited,false
12610,2402,Doctor,Invited,false
13100,2432,Administrator,Active,false
12321,2325,Nurse,Archived,false
13036,2179,03/11/2022,Invited,false
12621,2179,Administrator,Active,false
12930,2401,Administrator,Active,false
12664,2179,Administrator,Active,false
12769,1,Other,Not invited,false
12784,2407,Candidate,Invited,false
12058,2402,Administrator,Invited,true
13291,1,Other,Not invited,false
10838,2191,Administrator,Active,false
13302,2312,Administrator,Invited,false
11831,1,Other,Not invited,false
11838,1,Other,Not invited,false
11408,2364,Other,Active,false
14113,1,Other,Not invited,false
12059,2402,Administrator,Invited,false
13465,2402,Evg role,Active,false
11441,1493,Administrator,Active,false
13101,2179,RTW approver,Active,false
11701,2191,A1 nurcesdfs,Active,false
12905,2402,CLINICAL NOTO ADM,Invited,false
11703,2379,TestRole,Active,false
11725,2379,TestRole,Active,false
13286,2434,Administrator,Active,false
12462,2198,Absolurno new igrok,Active,false
11477,2325,Director,Archived,false
12948,2179,03/11/2022,Invited,false
12483,2409,Other,Active,false
12518,2402,Administrator,Invited,false
12568,2325,Director,Active,false
13295,2179,Administrator,Active,false
12599,2402,viewDetailsProfile,Active,false
13153,1,Other,Not invited,false
13017,2360,GP,Active,false
12611,2291,Doctor,Active,false
13674,2379,Ambulance Care Assistant,Active,false
12648,2179,Care Teamer,Active,false
813,1493,Doctor,Active,false
13193,2410,Ambulance Care Assistant,Invited,false
12785,2402,CLINICAL NOTO ADM,Invited,false
14120,2409,Other,Active,false
13163,2322,winnerWinner,Active,false
13090,2376,Basic SM,Active,false
189,2179,Doctor,Active,false
12665,2379,Administrator,Active,false
13272,2379,TestRole,Active,false
13292,1,Other,Not invited,false
11401,2179,Administrator,Active,false
12046,2179,03/11/2022,Invited,false
12684,2191,111aaaa,Active,false
12060,2417,Administrator,Active,false
13164,2322,betmen,Active,false
11661,2379,TestRole,Active,false
11704,2379,Other,Invited,false
11726,2379,TestRole,Active,false
9240,2191,gggg,Active,false
