job_position_id,ref_requested_at,ref_requested_date,ref_completed_at,ref_completed_date,ref_approved_at,ref_approved_date,is_mandatory,ref_package_name,ref_form_name,cr_created_at,marked_compliant_at,requested_to_completed_time,completed_to_reviewed_time,requested_to_reviewed_time,requested_to_compliant_time,ref_status,ref_approval_status,requested_to_completed_days,completed_to_reviewed_days,requested_to_reviewed_days,requested_to_compliant_days,requested_to_completed_category,completed_to_reviewed_category,requested_to_reviewed_category,requested_to_compliant_category
8468,2023-12-19 12:31:48.013000,2023-12-19,,,,,true,3 RF,@@,,,,,,19516145.9,SENT,Requested,,,,226,,,,High
8468,2023-09-13 11:41:49.898000,2023-09-13,2023-09-13 11:42:52.693000,2023-09-13,2023-11-20 13:39:11.751000,2023-11-20,true,3 RF,@@,2022-04-08 12:17:33.058000,2024-08-01 09:40:53.913000,62.795,5882179.058,5882241.853,27899944.015,APPROVED,Approved,1,69,69,323,Low,High,High,High
8468,2023-09-13 09:08:47.106000,2023-09-13,2023-09-13 09:10:16.733000,2023-09-13,2024-08-01 09:46:02.887000,2024-08-01,true,3 RF,@@,,,89.627,27909346.154,27909435.781,27909126.807,DENIED,Declined,1,324,324,324,Low,High,High,High
8468,2025-01-14 15:04:31.909000,2025-01-14,,,,,true,3 RF,@@,,,,,,-14361817.996,SENT,Requested,,,,-166,,,,Low
11486,2023-04-12 14:50:29.035000,2023-04-12,2023-04-12 14:51:19.157000,2023-04-12,2023-04-12 14:51:56.653000,2023-04-12,true,Exxxtended package,New form,2023-02-14 14:24:36.356000,2023-04-12 14:50:10.620000,50.122,37.496,87.618,-18.415,APPROVED,Approved,1,1,1,0,Low,Low,Low,Low
3101,2023-04-25 12:41:23.143000,2023-04-25,2023-04-25 12:42:26.136000,2023-04-25,2023-04-25 12:42:38.266000,2023-04-25,true,Reference Form 2021 - 1,Ref numa una 1,2023-04-25 09:18:15.197000,2023-04-25 10:02:31.706000,62.993,12.13,75.123,-9531.437,APPROVED,Approved,1,1,1,0,Low,Low,Low,Low
3101,2023-04-25 10:01:20.201000,2023-04-25,2023-04-25 10:02:12.358000,2023-04-25,2023-04-25 10:02:31.547000,2023-04-25,true,Reference Form 2021 - 1,Ref numa una 1,2023-04-25 09:18:15.197000,2023-04-25 10:02:31.706000,52.157,19.189,71.346,71.505,APPROVED,Approved,1,1,1,1,Low,Low,Low,Low
3101,2023-04-27 10:17:08.707000,2023-04-27,2023-04-27 10:20:21.508000,2023-04-27,,,true,Reference Form 2021 - 1,Ref numa una 1,,,192.801,,,-173677.001,AWAITING_APPROVAL,Submitted,1,,,-2,Low,,,Low
3101,2023-04-25 10:34:34.721000,2023-04-25,2023-04-25 10:35:17.985000,2023-04-25,2023-04-25 10:35:53.451000,2023-04-25,true,Reference Form 2021 - 1,Ref numa una 1,2023-04-25 09:18:15.197000,2023-04-25 10:02:31.706000,43.264,35.466,78.73,-1923.015,APPROVED,Approved,1,1,1,0,Low,Low,Low,Low
13880,2023-08-09 09:11:50.990000,2023-08-09,,,,,true,Testinnng,TestingFooter,,,,,,1226203.867,SENT,Requested,,,,15,,,,High
14107,2023-08-31 12:54:50.611000,2023-08-31,,,,,true,Qwww,test,,,,,,1006.533,SENT,Requested,,,,1,,,,Low
12700,2023-09-05 11:30:34.692000,2023-09-05,,,,,true,date,date,,,,,,-50.175,OPENED,Requested,,,,0,,,,Low
11517,2023-12-27 16:20:24.488000,2023-12-27,2023-12-27 16:21:23.863000,2023-12-27,2023-12-29 11:26:57.556000,2023-12-29,true,Common,Doctor Reference Form,,,59.375,155133.693,155193.068,155186.674,DENIED,Declined,1,2,2,2,Low,Low,Low,Low
11517,2023-12-27 16:15:57.007000,2023-12-27,2023-12-27 16:19:51.454000,2023-12-27,2023-12-29 11:26:50.996000,2023-12-29,true,Common,Doctor Reference Form,2023-09-27 09:29:14.050000,2023-12-29 11:26:51.162000,234.447,155219.542,155453.989,155454.155,APPROVED,Approved,1,2,2,2,Low,Low,Low,Low
11517,2023-12-27 16:26:02.519000,2023-12-27,2023-12-27 16:27:32.146000,2023-12-27,,,true,Common,Doctor Reference Form,,,89.627,,,154848.643,AWAITING_APPROVAL,Submitted,1,,,2,Low,,,Low
14110,2023-10-06 06:52:26.775000,2023-10-06,2023-10-06 06:53:27.324000,2023-10-06,2023-10-06 06:54:04.233000,2023-10-06,true,Date Ref,Date Ref,,,60.549,36.909,97.458,83.063,DENIED,Declined,1,1,1,1,Low,Low,Low,Low
14197,2023-11-02 08:50:47.259000,2023-11-02,2023-11-02 08:55:57.468000,2023-11-02,,,true,Docs,TestingFooter,,,310.209,,,-16.146,AWAITING_APPROVAL,Submitted,1,,,0,Low,,,Low
13880,2023-08-09 09:11:50.990000,2023-08-09,,,,,true,Docs,TestingFooter,,,,,,7342720.186,SENT,Requested,,,,85,,,,High
